query,scope,frequency,frequency_conflict,cluster,canonical,decision,seeds,operator_queries
"телевизор lg проводной интернет","broad","121","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор supra hdmi","broad","121","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор tuvio не реагирует на пульт","broad","121","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"центр пульт телевизор","broad","121","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"варианты крепления телевизора","broad","120","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"видео как подключить флешку к телевизору","broad","120","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"дистанционный пульт для телевизора самсунг","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"звук на телевизоре кино","broad","120","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"звук современных телевизоров","broad","120","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как разобрать пульт от телевизора xiaomi","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как транслировать на телевизор без интернета","broad","120","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"коды телевизоров для пульта винк","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"кронштейн крепления телевизора на стену 65","broad","120","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"купить пульт для телевизора lg в спб","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"купить телевизор 32 с интернетом","broad","120","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"перестал переключать пульт телевизора","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"переходник скарт на hdmi для телевизора","broad","120","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"пульт для телевизора yuno","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульты для телевизора купить владивосток","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"разъем hdmi телевизор lg","broad","120","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"ростелеком телефон интернет телевизор","broad","120","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"смарт телевизор какой размер","broad","120","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"тарелка для телевизора и интернета","broad","120","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор 55 дюймов размеры купить","broad","120","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 95 дюймов размеры","broad","120","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор не принимает пульт","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор пишет отсутствует подключение к интернету","broad","120","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"телевизор самсунг 32 крепление","broad","120","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"телевизор haier smart tv размеры","broad","120","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"трансляция на телевизор без интернета","broad","120","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"hi телевизор пульт приложение","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"samsung телевизор с пультом голосовым управлением","broad","120","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"алиса через пульт к телевизору","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"винты крепления телевизора на стену","broad","119","false","Винты и болты","/vinty-dlya-krepleniya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"интернет через телефон на телевизор самсунг","broad","119","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как закрепить крепления телевизора","broad","119","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"как настроить пульт триколор на телевизор","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как настроить смарт телевизор самсунг интернет","broad","119","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как транслировать экран на телевизор hdmi","broad","119","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"крепление телевизора на пол","broad","119","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"купить пульт для телевизора саратов","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"купить телевизор для интернет просмотра","broad","119","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"меню на пульте телевизора самсунг","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"настроить телевизор супра каналы с пультом","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"нет звука на телевизоре через разъем","broad","119","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"подключение пульта ростелеком к телевизору","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"правильный размер телевизора для комнаты","broad","119","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"провод hdmi с телефона на телевизор","broad","119","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"пульт включить 1 телевизор","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора самсунг цена","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора филипс купить на озоне","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизора гарантия","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт magic привязать к телевизору","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размеры телевизора 60 дюймов ширина и высота","broad","119","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"скачать пульт для телевизора на телефон hisense","broad","119","false","Пульт с телефона","/kak-upravlyat-televizorom-s-telefona/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"тв через интернет на телевизоре приложения","broad","119","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор 65 xiaomi размер","broad","119","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор триколор пропал звук","broad","119","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"телевизор mini led hdmi 2.1 4k","broad","119","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"функции пульта телевизора самсунг","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"электронный пульт от телевизора","broad","119","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"usb портом hdmi телевизор","broad","119","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"антенна для телевизора и интернета купить","broad","118","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"батарейки в пульт телевизора haier","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"бесплатное тв для телевизора через интернет","broad","118","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"бесплатный пульт для телевизора xiaomi","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"где найти флешку в телевизоре","broad","118","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"звук телевизора в ушах","broad","118","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как включить интернет на телевизоре lg","broad","118","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как включить телевизор hartens без пульта","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как настроить каналы на телевизоре с интернетом","broad","118","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как подключить 4 телевизора hdmi","broad","118","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как подключить звук телевизора через кинотеатр","broad","118","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как подключить флешку к телевизору самсунг","broad","118","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"какие флешки видит телевизор","broad","118","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"настройка пульта ростелеком на телевизор lg","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"не реагирует пульт телевизора ростелеком","broad","118","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"подключение смартфона к телевизору hdmi","broad","118","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"приставка от телевизора не реагирует на пульт","broad","118","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"пульт для смарт телевизора на андроид","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора онлайн без скачивания","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора rc29","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для haier телевизора андроид","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизор кнопка яркости какая кнопка","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизора rtv 03","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт управления телевизора витязь","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размер телевизора 72","broad","118","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размер телевизора зона","broad","118","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размер упаковки телевизора 55","broad","118","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"ремонтируют пульты телевизоров","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор лджи какой пульт","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор минимального размера","broad","118","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор сбер мигает пульт","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор хартенс не реагирует на пульт","broad","118","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"телевизор sber звук","broad","118","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"универсальный пульт для любого телевизора","broad","118","false","Универсальный пульт","/kak-nastroit-universalnyy-pult-dlya-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"упал пульт от телевизора","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"частота пульта телевизора","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"mi пульт xiaomi подключить к телевизору","broad","118","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"windows 10 подключить телевизор hdmi","broad","118","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"вай фай флешка для телевизора","broad","117","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"звук телевизора отстает от изображения","broad","117","false","Задержка звука","/otstaet-zvuk-ot-video-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"как включить флешку на телевизоре dexp","broad","117","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как войти в интернет на телевизоре","broad","117","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как подключить беспроводной интернет к телевизору","broad","117","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"как подключить пульт к телевизору супра","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как подключить телевизор tcl к интернету","broad","117","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"как управлять телевизором самсунг без пульта","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"какой пульт для телевизора xiaomi","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"купить телевизор tcl в интернет магазине","broad","117","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"нет звука на телевизоре через разъем hdmi","broad","117","false","Звук через HDMI","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор hdmi | телевизор звук","телевизор hdmi | телевизор звук"
"подключаем звук к телевизору самсунг","broad","117","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"подключаем телевизор к интернету через смартфон","broad","117","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"приложение пульт для телевизора сбер","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт винкс подключить к телевизору","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора поларлайн","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размеры кронштейна для телевизора 55","broad","117","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"скачать пульт для телевизора без интернета","broad","117","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет | телевизор пульт","телевизор интернет | телевизор пульт"
"способы крепления телевизора","broad","117","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"телевизор который работает от интернета","broad","117","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор с интернетом фото","broad","117","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор хаер не реагирует на пульт","broad","117","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"телевизор hyundai пульт настроить","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор tcl какие пульты подходят","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"трансляция телефона на телевизор через hdmi","broad","117","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"устройство пульта от телевизора","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"htr u32r пульт для телевизора","broad","117","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"валберис интернет магазин телевизоры","broad","116","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"включить интернет на пульте телевизора","broad","116","false","Требует ручной оценки","","review","телевизор интернет | телевизор пульт","телевизор интернет | телевизор пульт"
"интернет на телевизоре подключен но не работает","broad","116","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как включить телевизор супра без пульта","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как отключить hdmi на телевизоре","broad","116","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как подключить телевизор без вайфая к интернету","broad","116","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"как подключить телевизор к интернету без пульта","broad","116","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет | телевизор пульт","телевизор интернет | телевизор пульт"
"как подключить телевизор к смартфону интернет","broad","116","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"как убрать на телевизоре hdmi","broad","116","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как яндекс пульт управляет телевизором","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"какие размеры диагональ телевизора в см","broad","116","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"какой формат видео для телевизора с флешки","broad","116","false","Файловая система USB","/kakoy-format-fleshki-nuzhen-dlya-televizora/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"коды пульта телевизора супра","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"крепление телевизора vesa 100 100","broad","116","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"купить крепление для телевизора днс","broad","116","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"магазин продаж пультов для телевизора","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"можно ли в телевизор вставить флешку","broad","116","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"на пульте телевизора мигает красная кнопка","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"настройка телевизора dexp без пульта","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"не загружается интернет на телевизоре","broad","116","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"не слушается пульт телевизора","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"переключи пульт управления на телевизор","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"перестал работать пульт от телевизора самсунг","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"почему нет сигнала hdmi на телевизоре","broad","116","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"почему телевизор плохо реагирует на пульт","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора с мобильного телефона","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора ts","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора xiaomi 2026","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизора источник сигнала","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт huayu для телевизоров lg","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"скачать пульт для телевизора starwind","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор 32 дюйма какой размер в сантиметрах","broad","116","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор не отвечает на пульт","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор плохо ловит интернет","broad","116","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор филипс не работает пульт","broad","116","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"угловое крепление для телевизора","broad","116","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"hdmi кабель планшет телевизор","broad","116","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"в пульте телевизора заменить батарейку","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"выбор размера телевизора","broad","115","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"где купить пульт для телевизора сони","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как включить телевизор hyundai без пульта","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как настроить интернет на телевизоре андроид","broad","115","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как обновить телевизор самсунг через флешку","broad","115","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как подключить пульт к телевизору тувио","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как подключить телевизор самсунг без пульта","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как привязать пульт к телевизору hisense","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"какая скорость интернета для просмотра телевизора","broad","115","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет | скорость интернета телевизор","телевизор интернет | скорость интернета телевизор"
"какой размер телевизора в сантиметрах высота","broad","115","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"крепление для телевизора на стену 200x200","broad","115","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"м видео интернет каталог телевизоров","broad","115","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"можно ли смотреть телевизор в интернете","broad","115","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"монтаж креплений телевизоров","broad","115","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"набор для крепления телевизора","broad","115","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"ножки для телевизора размеры","broad","115","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"подвесное крепление для телевизора","broad","115","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"подключение телевизора интернету видео","broad","115","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"почему hdmi показывает на телевизоре","broad","115","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"пульт для лед телевизора","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора не реагирует на нажатие","broad","115","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"пульт для телевизора elenberg","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора raybe","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт который подходит ко всем телевизорам","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт управления телевизором на русском языке","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"скачать блютуз пульт для телевизора","broad","115","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"смарт телевизор можно смотреть без интернета","broad","115","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"телевизор 30 дюймов размеры","broad","115","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 44 дюйма размеры","broad","115","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор моргает звук есть","broad","115","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор первый звук","broad","115","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
